0.01,0.01,150
0.01,0.02,156
0.01,0.03,156
0.01,0.04,156
0.01,0.05,156
0.01,0.06,156
0.01,0.07,156
0.01,0.08,156
0.01,0.09,156
0.01,0.1,156
0.01,0.11,125
0.01,0.12,125
0.01,0.13,125
0.01,0.14,125
0.01,0.15,125
0.01,0.16,125
0.01,0.17,125
0.01,0.18,125
0.01,0.19,125
0.01,0.2,125
0.01,0.21,125
0.01,0.22,125
0.01,0.23,125
0.01,0.24,125
0.01,0.25,125
0.01,0.26,125
0.01,0.27,125
0.01,0.28,125
0.01,0.29,125
0.01,0.3,125
0.01,0.31,125
0.01,0.32,125
0.01,0.33,125
0.01,0.34,125
0.01,0.35,125
0.01,0.36,184
0.01,0.37,184
0.01,0.38,184
0.01,0.39,184
0.01,0.4,184
0.01,0.41,184
0.01,0.42,184
0.01,0.43,184
0.01,0.44,184
0.01,0.45,184
0.01,0.46,184
0.01,0.47,184
0.01,0.48,184
0.01,0.49,184
0.01,0.5,148
0.01,0.51,148
0.01,0.52,148
0.01,0.53,148
0.01,0.54,148
0.01,0.55,148
0.01,0.56,148
0.01,0.57,148
0.01,0.58,148
0.01,0.59,148
0.01,0.6,148
0.01,0.61,148
0.01,0.62,148
0.01,0.63,148
0.01,0.64,148
0.01,0.65,148
0.01,0.66,148
0.01,0.67,148
0.01,0.68,148
0.01,0.69,148
0.01,0.7,148
0.01,0.71,148
0.01,0.72,148
0.01,0.73,148
0.01,0.74,162
0.01,0.75,162
0.01,0.76,157
0.01,0.77,206
0.01,0.78,206
0.01,0.79,217
0.01,0.8,157
0.01,0.81,157
0.01,0.82,157
0.01,0.83,157
0.01,0.84,217
0.01,0.85,157
0.01,0.86,157
0.01,0.87,155
0.01,0.88,104
0.01,0.89,104
0.01,0.9,102
0.01,0.91,102
0.01,0.92,102
0.01,0.93,100
0.01,0.94,110
0.01,0.95,121
0.01,0.96,129
0.01,0.97,138
0.01,0.98,112
0.01,0.99,174
0.02,0.01,190
0.02,0.02,190
0.02,0.03,190
0.02,0.04,190
0.02,0.05,190
0.02,0.06,190
0.02,0.07,190
0.02,0.08,190
0.02,0.09,190
0.02,0.1,190
0.02,0.11,190
0.02,0.12,190
0.02,0.13,146
0.02,0.14,146
0.02,0.15,146
0.02,0.16,146
0.02,0.17,146
0.02,0.18,146
0.02,0.19,146
0.02,0.2,146
0.02,0.21,146
0.02,0.22,146
0.02,0.23,146
0.02,0.24,146
0.02,0.25,146
0.02,0.26,146
0.02,0.27,146
0.02,0.28,146
0.02,0.29,146
0.02,0.3,152
0.02,0.31,142
0.02,0.32,160
0.02,0.33,147
0.02,0.34,141
0.02,0.35,144
0.02,0.36,239
0.02,0.37,239
0.02,0.38,239
0.02,0.39,239
0.02,0.4,239
0.02,0.41,239
0.02,0.42,239
0.02,0.43,239
0.02,0.44,239
0.02,0.45,239
0.02,0.46,159
0.02,0.47,159
0.02,0.48,159
0.02,0.49,159
0.02,0.5,159
0.02,0.51,159
0.02,0.52,159
0.02,0.53,159
0.02,0.54,159
0.02,0.55,159
0.02,0.56,159
0.02,0.57,159
0.02,0.58,159
0.02,0.59,159
0.02,0.6,159
0.02,0.61,159
0.02,0.62,159
0.02,0.63,159
0.02,0.64,159
0.02,0.65,159
0.02,0.66,159
0.02,0.67,159
0.02,0.68,159
0.02,0.69,159
0.02,0.7,159
0.02,0.71,175
0.02,0.72,175
0.02,0.73,175
0.02,0.74,160
0.02,0.75,160
0.02,0.76,160
0.02,0.77,180
0.02,0.78,191
0.02,0.79,176
0.02,0.8,176
0.02,0.81,176
0.02,0.82,176
0.02,0.83,181
0.02,0.84,194
0.02,0.85,194
0.02,0.86,194
0.02,0.87,194
0.02,0.88,144
0.02,0.89,207
0.02,0.9,166
0.02,0.91,221
0.02,0.92,182
0.02,0.93,192
0.02,0.94,190
0.02,0.95,159
0.02,0.96,159
0.02,0.97,167
0.02,0.98,154
0.02,0.99,234
0.03,0.01,222
0.03,0.02,222
0.03,0.03,222
0.03,0.04,222
0.03,0.05,222
0.03,0.06,222
0.03,0.07,222
0.03,0.08,222
0.03,0.09,222
0.03,0.1,222
0.03,0.11,222
0.03,0.12,223
0.03,0.13,223
0.03,0.14,223
0.03,0.15,223
0.03,0.16,223
0.03,0.17,223
0.03,0.18,223
0.03,0.19,223
0.03,0.2,223
0.03,0.21,223
0.03,0.22,223
0.03,0.23,223
0.03,0.24,223
0.03,0.25,223
0.03,0.26,218
0.03,0.27,218
0.03,0.28,218
0.03,0.29,218
0.03,0.3,218
0.03,0.31,180
0.03,0.32,180
0.03,0.33,180
0.03,0.34,194
0.03,0.35,194
0.03,0.36,194
0.03,0.37,194
0.03,0.38,217
0.03,0.39,216
0.03,0.4,208
0.03,0.41,199
0.03,0.42,222
0.03,0.43,199
0.03,0.44,184
0.03,0.45,184
0.03,0.46,184
0.03,0.47,184
0.03,0.48,184
0.03,0.49,184
0.03,0.5,184
0.03,0.51,184
0.03,0.52,184
0.03,0.53,184
0.03,0.54,184
0.03,0.55,184
0.03,0.56,184
0.03,0.57,184
0.03,0.58,184
0.03,0.59,184
0.03,0.6,184
0.03,0.61,184
0.03,0.62,184
0.03,0.63,184
0.03,0.64,247
0.03,0.65,285
0.03,0.66,218
0.03,0.67,258
0.03,0.68,263
0.03,0.69,259
0.03,0.7,208
0.03,0.71,275
0.03,0.72,271
0.03,0.73,186
0.03,0.74,179
0.03,0.75,152
0.03,0.76,197
0.03,0.77,132
0.03,0.78,130
0.03,0.79,181
0.03,0.8,145
0.03,0.81,161
0.03,0.82,115
0.03,0.83,163
0.03,0.84,196
0.03,0.85,189
0.03,0.86,205
0.03,0.87,198
0.03,0.88,260
0.03,0.89,155
0.03,0.9,157
0.03,0.91,201
0.03,0.92,308
0.03,0.93,242
0.03,0.94,243
0.03,0.95,215
0.03,0.96,229
0.03,0.97,202
0.03,0.98,148
0.03,0.99,213
0.03,1,5317
0.04,0.01,266
0.04,0.02,266
0.04,0.03,266
0.04,0.04,266
0.04,0.05,266
0.04,0.06,266
0.04,0.07,219
0.04,0.08,219
0.04,0.09,219
0.04,0.1,219
0.04,0.11,219
0.04,0.12,219
0.04,0.13,219
0.04,0.14,219
0.04,0.15,219
0.04,0.16,219
0.04,0.17,219
0.04,0.18,219
0.04,0.19,219
0.04,0.2,219
0.04,0.21,219
0.04,0.22,219
0.04,0.23,219
0.04,0.24,226
0.04,0.25,226
0.04,0.26,226
0.04,0.27,226
0.04,0.28,226
0.04,0.29,226
0.04,0.3,226
0.04,0.31,226
0.04,0.32,226
0.04,0.33,226
0.04,0.34,226
0.04,0.35,226
0.04,0.36,226
0.04,0.37,226
0.04,0.38,226
0.04,0.39,226
0.04,0.4,226
0.04,0.41,167
0.04,0.42,167
0.04,0.43,167
0.04,0.44,167
0.04,0.45,167
0.04,0.46,167
0.04,0.47,167
0.04,0.48,167
0.04,0.49,167
0.04,0.5,167
0.04,0.51,167
0.04,0.52,167
0.04,0.53,167
0.04,0.54,167
0.04,0.55,174
0.04,0.56,167
0.04,0.57,167
0.04,0.58,167
0.04,0.59,167
0.04,0.6,167
0.04,0.61,167
0.04,0.62,221
0.04,0.63,238
0.04,0.64,192
0.04,0.65,192
0.04,0.66,192
0.04,0.67,192
0.04,0.68,192
0.04,0.69,156
0.04,0.7,163
0.04,0.71,201
0.04,0.72,268
0.04,0.73,264
0.04,0.74,290
0.04,0.75,292
0.04,0.76,287
0.04,0.77,253
0.04,0.78,236
0.04,0.79,267
0.04,0.8,208
0.04,0.81,171
0.04,0.82,255
0.04,0.83,267
0.04,0.84,198
0.04,0.85,173
0.04,0.86,247
0.04,0.87,264
0.04,0.88,202
0.04,0.89,256
0.04,0.9,256
0.04,0.91,255
0.04,0.92,222
0.04,0.93,292
0.04,0.94,288
